siteID,AP19,JA19,JU19,OC19,AP20,JA20,JU20,OC20,AP21,JA21,JU21,OC21,AP22,JA22,JU22,OC22
NCAP-MD-FFP1_NACA,NA,NA,NA,NA,178,403,804,553,219,428,529,344,544,433,602,613
NCAP-MD-GCP1_NACA,NA,NA,NA,NA,34641,34671,52054,46603,26951,34052,37331,30398,33827,39817,37502,53560
NCAP-MD-HCR1_NACA,NA,NA,NA,NA,NA,NA,NA,NA,6721,5215,12280,7748,8197,8511,10561,13612
NCAP-MD-IST1_NACA,NA,NA,NA,NA,38824,61607,48005,49232,30276,40085,47605,54660,49228,50437,47815,83921
NCAP-MD-KCP1_NACA,NA,NA,NA,NA,NA,NA,NA,NA,14514,13151,21754,18683,17291,21291,19252,27348
NCAP-MD-LFP1_NACA,NA,NA,NA,NA,24371,26731,30935,28146,22478,24270,34009,22124,21240,25132,22936,32665
NCAP-MD-LFP2_NACA,NA,NA,NA,NA,93641,98826,121957,97259,83895,93862,122553,94551,89977,108256,105080,140175
NCAP-MD-LFP3_NACA,NA,NA,NA,NA,98684,118488,140918,131076,95106,101381,138848,98962,95893,107903,110209,152399
NCAP-MD-MRC1_NACA,NA,NA,NA,NA,7535,9058,9394,6444,2503,3017,4362,2642,2068,2561,3030,3047
NCAP-MD-NWP1_NACA,NA,NA,NA,NA,9485,8105,11246,9630,9587,9902,10533,9528,9938,10806,8732,11716
NCAP-MD-PBP1_NACA,NA,NA,NA,NA,136330,195497,113313,298095,269803,227291,198005,351030,332245,291041,263497,564410
NCAP-MD-PGM1_NACA,NA,NA,NA,NA,246881,385202,419734,445458,368336,415982,549919,399538,391011,488321,454933,614418
NCAP-MD-RCP1_NACA,NA,NA,NA,NA,34628,33691,51360,36187,27568,28210,40841,27108,26008,29451,27480,37393
NCAP-MD-RCS2_NACA,NA,NA,NA,NA,17493,23248,23268,22150,17554,16228,23544,16893,13865,15813,19244,24632
NCAP-MD-SCG1_NACA,NA,NA,NA,NA,141635,146960,190891,164073,142479,130362,178153,122805,97364,118924,108838,155466
NCAP-MD-SLC1_NACA,NA,NA,NA,NA,46354,55679,41649,33614,25821,32894,35642,46817,48839,46511,38746,66421
NCAP-MD-SLP1_NACA,NA,NA,NA,NA,14297,22500,17718,16354,11778,11985,20123,13807,12463,14533,16414,23910
NCAP-MD-SYC1_NACA,NA,NA,NA,NA,6451,8139,11414,10466,8346,8734,12326,8495,8120,9188,8896,10894
NCAP-MD-TCC1_NACA,NA,NA,NA,NA,2450,4655,6516,6270,3598,3929,6008,6081,3919,3294,4389,7443
NCAP-MD-TPB1_NACA,NA,NA,NA,NA,31764,36647,41229,32376,25565,27776,32817,27452,26586,27020,27342,43827
NCAP-MD-WMR1_NACA,NA,NA,NA,NA,4194,3144,9034,5943,7418,5846,11626,6752,6585,5003,7418,7369
NCAP-VA-ANC1_NACA,NA,NA,NA,NA,52940,59041,57429,59994,41726,49092,86219,46566,60827,56283,87892,98879
NCAP-VA-ARM1_NACA,NA,NA,NA,NA,50464,48150,73246,59872,38042,40304,71239,43740,45978,47617,55215,73451
NCAP-VA-BAR1_NACA,NA,NA,NA,NA,85564,101379,119674,106001,94887,107565,160172,134256,156707,157859,154452,224901
NCAP-VA-BBP1_NACA,NA,NA,NA,NA,122818,111300,172022,149263,106162,104571,140886,92162,88587,102341,106161,145857
NCAP-VA-BLU1_NACA,NA,NA,NA,NA,28844,30702,37116,29234,19624,20173,27489,17236,19928,18951,22080,33515
NCAP-VA-BMP1_NACA,NA,NA,NA,NA,54767,59053,67365,57085,32567,39092,45936,34239,42253,38376,43140,56443
NCAP-VA-BSH1_NACA,NA,NA,NA,NA,16732,25274,20437,25343,14503,15521,27485,18225,19298,20175,25887,27863
NCAP-VA-CPL1_NACA,NA,NA,NA,NA,2201494,3070931,2997548,2638353,2254138,2391022,4406164,2743137,3306053,3242656,4026711,5053860
NCAP-VA-DAI1_NACA,NA,NA,NA,NA,629449,862776,893953,787449,666312,609354,1364462,788182,929456,906251,1146412,1411460
NCAP-VA-DOK1_NACA,NA,NA,NA,NA,33761,31957,49432,38158,21865,23716,28984,22041,23667,23318,26509,35287
NCAP-VA-FMR1_NACA,NA,NA,NA,NA,419755,593116,537461,456686,380301,442060,798866,505708,637560,672682,816138,1017887
NCAP-VA-FTW1_NACA,NA,NA,NA,NA,46651,52388,68283,59106,40659,44750,68625,41738,41042,47402,59938,69177
NCAP-VA-JDP1_NACA,NA,NA,NA,NA,144513,160269,243147,194363,136928,142241,213981,135127,137723,155176,165181,216607
NCAP-VA-JPP1_NACA,NA,NA,NA,NA,178133,225739,336636,281191,251769,260071,487958,299366,316963,331484,393418,505365
NCAP-VA-LBJ1_NACA,NA,NA,NA,NA,NA,NA,NA,NA,1991629,1551036,3985830,2490128,2995072,2835953,3814189,4541645
NCAP-VA-LEE1_NACA,NA,NA,NA,NA,8875,20472,13094,20389,16866,18330,28978,18865,18477,21284,25300,34282
NCAP-VA-LIC1_NACA,NA,NA,NA,NA,6176,9093,6385,4964,2795,5709,6372,8388,13981,9777,7940,13611
NCAP-VA-LOF1_NACA,NA,NA,NA,NA,NA,NA,NA,NA,3228,2766,4883,5116,7321,3969,3237,3392
NCAP-VA-MBL1_NACA,NA,NA,NA,NA,16461,16413,23060,19737,15377,14968,20755,15462,12150,13920,14574,16965
NCAP-VA-MCC1_NACA,NA,NA,NA,NA,81176,91012,116342,108337,78395,87429,121724,86698,82531,98478,89776,126983
NCAP-VA-MDP1_NACA,NA,NA,NA,NA,5466,5690,7106,4413,6172,3852,8215,5711,4411,7500,7839,15722
NCAP-VA-MHP1_NACA,NA,NA,NA,NA,23575,42185,12624,27193,20707,20874,24696,40804,NA,5759,NA,NA
NCAP-VA-MON1_NACA,NA,NA,NA,NA,26529,29436,40410,36201,23502,27606,33560,28728,29268,31110,30856,41352
NCAP-VA-MTV1_NACA,NA,NA,NA,NA,NA,NA,NA,NA,37565,35659,58230,52999,68121,59802,59473,72822
NCAP-VA-POT1_NACA,NA,NA,NA,NA,302786,324614,597323,475258,342549,344536,653609,411005,395155,418584,510632,656383
NCAP-VA-PRC1_NACA,NA,NA,NA,NA,29129,70482,31032,37057,35844,28721,56620,29391,37139,34439,43707,66402
NCAP-VA-RTP1_NACA,NA,NA,NA,NA,4668,5003,6911,5321,4078,3701,6519,3573,2881,2536,3992,3794
NCAP-VA-TKY1_NACA,NA,NA,NA,NA,1575,1151,2484,2029,1065,933,1694,862,584,472,1096,1135
NCAP-VA-TRI1_NACA,NA,NA,NA,NA,1120542,1750240,1307001,1302910,1080760,1123066,2239939,1508635,1958551,1628897,2265620,2746014
NCAP-VA-TUK1_NACA,NA,NA,NA,NA,NA,NA,NA,NA,51643,42754,73376,72144,73805,66128,67121,101940
NCAP-VA-UPT1_NACA,NA,NA,NA,NA,234034,232308,392372,303503,236695,259631,367693,237463,232395,271357,275868,351821
NCAP-VA-WAR1_NACA,NA,NA,NA,NA,NA,NA,NA,NA,186919,148266,282509,199172,183228,195925,193417,255856
ASP_WIDE,244798,164398,248996,370459,NA,41384,NA,NA,172871,129567,241106,178637,183919,196298,188909,274268
BCP_WIDE,NA,NA,NA,NA,30778,28976,50508,46991,33028,37768,55429,37520,33487,34033,38766,56569
BKP_WIDE,15068,8441,15045,14690,NA,1506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BNP_WIDE,304169,171186,320620,399611,NA,69303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BNP3_WIDE,31165,22262,14041,53325,NA,2555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRG_WIDE,1986,1369,800,1660,738,1332,387,3386,NA,415,NA,NA,NA,NA,NA,NA
CBP2_WIDE,52627,30768,44394,66686,33642,42183,42237,40044,26701,28826,33771,25732,30975,33309,28611,43291
CMP_WIDE,32472,21480,30179,37383,17129,20488,19968,19572,14252,13263,14043,9654,8315,10015,10654,13165
CWP_WIDE,18985,10206,17778,19107,NA,1780,NA,NA,6590,4981,8146,5407,6702,7780,8323,11624
DEC_WIDE,98282,49091,89746,123034,48734,71173,83082,73026,67526,52344,89566,52069,NA,11455,NA,NA
