siteID,AP19,JA19,JU19,OC19,AP20,JA20,JU20,OC20,AP21,JA21,JU21,OC21,AP22,JA22,JU22,OC22
NCAP-MD-SLC1_NACA,NA,NA,NA,NA,21,25,21,21,22,22,23,22,19,20,18,24
NCAP-MD-SLP1_NACA,NA,NA,NA,NA,28,33,30,28,25,24,31,25,28,27,26,31
NCAP-MD-SYC1_NACA,NA,NA,NA,NA,8,8,9,10,8,8,10,8,7,7,7,7
NCAP-MD-TCC1_NACA,NA,NA,NA,NA,5,6,7,6,5,6,6,7,5,7,10,9
NCAP-MD-TPB1_NACA,NA,NA,NA,NA,39,43,31,36,24,32,27,31,35,31,29,40
NCAP-MD-WMR1_NACA,NA,NA,NA,NA,9,8,12,9,9,5,8,7,9,7,8,9
NCAP-VA-ANC1_NACA,NA,NA,NA,NA,43,49,42,43,40,44,44,44,42,38,44,48
NCAP-VA-ARM1_NACA,NA,NA,NA,NA,39,45,41,42,31,36,38,35,33,36,38,39
NCAP-VA-BAR1_NACA,NA,NA,NA,NA,73,78,71,75,61,67,67,64,72,64,74,74
NCAP-VA-BBP1_NACA,NA,NA,NA,NA,93,101,94,96,88,89,85,86,83,90,90,99
NCAP-VA-BLU1_NACA,NA,NA,NA,NA,21,26,24,23,20,20,21,22,23,20,24,24
NCAP-VA-BMP1_NACA,NA,NA,NA,NA,28,27,28,29,23,22,25,25,25,24,21,24
NCAP-VA-BSH1_NACA,NA,NA,NA,NA,42,44,38,44,38,38,39,38,34,35,36,40
NCAP-VA-CPL1_NACA,NA,NA,NA,NA,51,55,48,50,50,50,54,52,52,52,55,55
NCAP-VA-DAI1_NACA,NA,NA,NA,NA,12,10,12,9,8,9,8,6,8,8,9,9
NCAP-VA-DOK1_NACA,NA,NA,NA,NA,35,37,34,36,30,31,33,30,33,32,36,38
NCAP-VA-FMR1_NACA,NA,NA,NA,NA,121,124,122,117,111,114,115,109,114,115,115,123
NCAP-VA-FTW1_NACA,NA,NA,NA,NA,51,58,54,57,46,49,52,47,48,51,51,58
NCAP-VA-JDP1_NACA,NA,NA,NA,NA,99,103,101,102,93,92,99,90,104,96,103,107
NCAP-VA-JPP1_NACA,NA,NA,NA,NA,116,128,118,117,99,99,117,101,110,110,117,122
NCAP-VA-LBJ1_NACA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,7,6,7,7
NCAP-VA-LEE1_NACA,NA,NA,NA,NA,7,6,4,6,5,3,4,3,5,4,6,3
NCAP-VA-LIC1_NACA,NA,NA,NA,NA,15,20,16,18,13,15,13,13,11,12,16,15
NCAP-VA-LOF1_NACA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,4,3,3,5,6,4
NCAP-VA-MBL1_NACA,NA,NA,NA,NA,9,10,9,8,8,8,9,9,9,10,10,9
NCAP-VA-MCC1_NACA,NA,NA,NA,NA,98,110,97,97,83,95,92,95,94,87,104,115
NCAP-VA-MDP1_NACA,NA,NA,NA,NA,16,17,12,12,12,11,14,12,13,11,13,14
NCAP-VA-MHP1_NACA,NA,NA,NA,NA,16,22,18,17,14,14,13,13,NA,13,NA,NA
NCAP-VA-MON1_NACA,NA,NA,NA,NA,49,50,50,47,41,43,44,42,44,44,45,48
NCAP-VA-MTV1_NACA,NA,NA,NA,NA,NA,NA,NA,NA,33,34,37,35,32,33,35,37
NCAP-VA-POT1_NACA,NA,NA,NA,NA,15,17,12,14,15,14,16,14,14,13,13,15
NCAP-VA-PRC1_NACA,NA,NA,NA,NA,21,22,20,20,21,18,20,18,19,17,17,18
NCAP-VA-RTP1_NACA,NA,NA,NA,NA,8,6,11,10,6,8,10,5,4,5,8,6
NCAP-VA-TKY1_NACA,NA,NA,NA,NA,5,4,3,3,3,3,3,4,3,4,3,3
NCAP-VA-TRI1_NACA,NA,NA,NA,NA,99,103,92,96,86,85,92,89,93,88,95,95
NCAP-VA-TUK1_NACA,NA,NA,NA,NA,NA,NA,NA,NA,40,42,42,39,41,41,40,42
NCAP-VA-UPT1_NACA,NA,NA,NA,NA,106,112,110,112,102,107,112,107,108,109,111,119
NCAP-VA-WAR1_NACA,NA,NA,NA,NA,NA,NA,NA,NA,69,71,73,70,75,77,76,83
ASP_WIDE,18,19,15,18,NA,10,NA,NA,13,13,13,12,10,10,11,12
BCP_WIDE,NA,NA,NA,NA,2,2,2,4,2,2,3,2,3,3,4,4
BKP_WIDE,9,10,10,10,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BNP_WIDE,57,55,62,64,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BNP3_WIDE,36,31,32,35,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRG_WIDE,3,3,3,2,2,3,3,4,NA,2,NA,NA,NA,NA,NA,NA
CBP2_WIDE,69,59,71,74,55,53,59,59,41,49,38,32,44,44,48,46
CMP_WIDE,21,24,27,22,20,21,20,22,18,19,15,18,15,16,18,16
CWP_WIDE,22,21,23,25,NA,12,NA,NA,18,16,14,12,12,14,15,18
DEC_WIDE,37,32,30,33,24,26,28,28,28,22,25,21,NA,17,NA,NA
FLW_WIDE,8,7,3,5,1,4,4,3,NA,1,NA,NA,NA,NA,NA,NA
FZS_WIDE,7,2,5,4,NA,4,4,4,5,2,4,2,2,3,1,3
GLP2_WIDE,NA,NA,NA,NA,6,4,7,5,5,5,6,5,NA,3,NA,NA
JSC_WIDE,2,2,2,2,2,2,2,2,NA,2,NA,NA,NA,NA,NA,NA
LMC_WIDE,4,4,3,3,2,2,2,4,2,2,3,2,3,3,4,4
LMR2_WIDE,12,12,11,11,9,11,10,12,9,9,7,9,7,8,9,9
MAR_WIDE,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRP_WIDE,51,48,52,51,45,48,42,38,27,29,27,30,NA,19,NA,NA
RPL3_WIDE,2,2,3,3,1,2,1,2,NA,1,NA,NA,NA,NA,NA,NA
RPW_WIDE,12,12,12,13,8,5,10,7,2,3,6,3,5,1,3,3
RVC_WIDE,101,95,105,98,77,82,70,61,42,47,46,48,48,52,49,52
SBP_WIDE,9,9,11,10,10,9,10,9,10,10,11,9,NA,7,NA,NA
SLP_WIDE,74,69,75,74,64,71,56,54,44,45,47,40,38,36,42,49
SMP_WIDE,1,1,NA,NA,NA,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA
SSL2_WIDE,17,17,17,17,16,16,13,16,12,13,13,13,NA,9,NA,NA
SSL3_WIDE,NA,NA,NA,NA,2,3,2,2,2,2,2,2,3,2,2,2
WBC_WIDE,208,198,203,206,167,178,157,156,128,135,134,133,136,131,138,152
WIDE-A08-GLP1_WIDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIN2_WIDE,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,NA,NA
