siteID,JA19,AP19,JU19,OC19,JA20,AP20,JU20,OC20,JA21,AP21,JU21,OC21,JA22,AP22,JU22,OC22
DEIO_DEIO19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111,16
DEIO_DEIO20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,13
DEIO_DEIO21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,84
DEIO_DEIO22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,44
DEIO_DEIO23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6
DEIO_DEIO24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3
DEIO_DEIO25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0
ININ_M01-PRG1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_M01-SAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_M02-BCF1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
ININ_M02-OBP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_M02-SBP2,0,0,0,3,0,0,7,0,0,0,0,3,0,0,0,0
ININ_M03-FCP1,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0
ININ_M03-GWP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_M03-ISD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_M04-BAS1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_M04-FRP1,0,2,5,0,0,1,5,2,0,0,31,1,0,0,0,0
ININ_M04-MAP1,4,2,10,35,2,7,0,0,2,0,0,0,0,0,0,0
ININ_M05-ISB2,4,3,3,25,5,0,4,16,10,0,0,0,16,0,0,0
ININ_M05-SDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_M05-SGC1,0,1,0,6,0,0,2,0,0,0,1,0,0,0,0,0
ININ_M06-MCP1,6,21,20,16,15,0,34,12,20,0,19,20,12,0,0,0
ININ_M06-PGC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_M07-CAC1,0,1,4,2,0,0,6,0,0,0,0,0,0,0,0,0
ININ_M07-CCT1,10,4,4,34,18,0,4,2,0,0,2,8,0,0,0,0
ININ_M07-WFD1,0,1,4,0,0,0,1,0,0,0,2,1,0,0,0,0
ININ_M08-FTP1,0,2,0,1,1,0,3,0,0,0,13,13,0,0,0,0
ININ_M08-MMT2,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0
ININ_M08-WGP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_R01-IUI1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_R02-PRU1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_R03-4651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_R04-SWW1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_R05-WAV1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_R06-MMP-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_W01-GFP3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
ININ_W01-HCC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_W01-WRG1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ININ_W02-EMP1,0,0,0,16,0,3,1,0,0,4,5,0,0,0,0,0
ININ_W02-IZO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_W03-CHC1,41,66,19,35,12,73,66,65,37,29,56,0,0,0,0,0
ININ_W03-MEL1,0,2,4,8,0,0,2,0,0,0,8,0,0,0,0,0
ININ_W03-RGC1,0,1,1,3,0,14,5,14,2,9,17,78,0,0,0,0
ININ_W04-BHC2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_W04-JSP1,3,6,9,8,5,1,3,4,0,2,1,0,0,0,0,0
ININ_W04-ROW1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
ININ_W04-WPC1,0,1,2,1,5,1,0,2,0,0,5,6,0,0,0,0
ININ_W05-CPE1,1,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0
ININ_W05-EES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_W06-CNP1,6,8,16,15,0,12,17,9,9,0,16,12,0,0,0,0
ININ_W06-LRF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_W06-UHS1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ININ_W07-INA1,7,2,31,1,0,8,11,10,0,0,6,8,0,0,0,0
ININ_W07-UES2,2,13,8,7,0,20,8,8,0,0,14,14,0,0,0,0
ININ_W07-WAF1,2,1,4,15,4,2,9,13,6,1,9,13,0,0,0,0
ININ_W08-NST3,0,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0
ININ_W08-ROS1,4,7,2,6,1,0,0,0,0,0,0,0,0,0,0,0
IOIO_A01-RES1,0,0,NA,14,0,11,7,17,0,6,0,3,0,3,0,0
IOIO_A01-WMA1,0,0,NA,20,1,20,11,7,0,0,13,8,0,12,0,0
IOIO_A01-WMA2,0,0,NA,5,2,4,8,17,10,12,2,7,20,2,0,0
IOIO_A01-WMA3,0,0,NA,2,0,0,31,9,7,24,3,0,0,0,0,0
IOIO_A02-FUH1,0,0,NA,13,0,0,4,3,0,0,5,15,0,0,0,0
IOIO_A02-GLP1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
IOIO_A02-MET1,0,0,NA,22,2,7,1,0,0,0,0,0,0,0,0,0
IOIO_A02-RES2,0,0,NA,13,19,17,28,0,2,5,15,12,4,0,0,0
IOIO_A02-WMA4,0,0,NA,1,1,7,32,10,0,3,6,6,0,1,0,0
IOIO_A03-CNA1,0,0,NA,0,0,6,52,16,0,1,0,0,0,0,0,0
IOIO_A03-JOY1,0,0,NA,5,14,55,40,64,12,31,11,31,1,26,0,0
IOIO_A03-YSC1,0,0,NA,7,3,13,31,7,0,7,3,3,2,8,0,0
IOIO_A04-AUB1,0,0,NA,23,23,55,21,0,0,54,19,37,33,33,0,0
IOIO_A04-DOV1,0,0,NA,7,0,5,106,19,3,11,4,1,0,0,0,0
IOIO_A04-PEN1,0,0,NA,57,7,33,44,64,8,31,17,8,5,3,0,0
IOIO_A04-WAT1,0,0,NA,24,0,13,43,55,0,10,14,36,6,29,0,0
IOIO_A05-BEN1,0,0,NA,8,5,7,79,27,24,0,36,81,13,0,0,0
IOIO_A05-CRE1,0,0,NA,0,0,0,0,1,1,0,6,5,2,0,0,0
IOIO_A05-SAN1,0,0,NA,16,9,11,17,23,14,20,16,0,9,65,28,41
IOIO_A05-SHI1,0,0,NA,31,34,20,51,53,25,19,40,13,41,15,0,0
IOIO_A06-SHP1,0,0,NA,46,65,8,4,29,24,18,23,54,147,0,0,0
IOIO_A06-SYC1,0,0,NA,19,22,0,23,45,25,22,8,4,2,0,0,0
IOIO_A06-SYC2,0,0,NA,18,7,7,17,6,110,64,11,14,51,0,0,0
IOIO_A06-TTB1,0,0,NA,23,2,4,33,3,4,24,0,3,0,1,0,0
IOIO_A07-CCG2,0,0,NA,11,8,11,10,76,11,28,26,12,34,1,0,0
IOIO_A07-UIO1,0,0,NA,8,1,3,0,6,2,0,3,8,24,15,0,0
IOIO_A08-PET1,0,0,NA,27,19,39,33,23,18,39,33,23,26,0,0,0
IOIO_A08-RES3,0,0,NA,32,1,15,24,13,1,2,6,9,0,0,0,0
IOIO_A08-RES4,0,0,NA,48,7,4,19,22,5,6,11,2,1,0,0,0
IOIO_A08-TCP1,0,0,NA,4,1,10,8,0,0,15,0,37,5,5,1,0
IOIO_A09-HRP1,0,0,NA,1,0,4,1,11,0,1,13,2,0,3,0,0
IOIO_A09-KEN1,0,0,NA,0,3,10,0,3,1,1,8,4,0,0,0,0
IOIO_A09-TOK1,0,0,NA,1,24,23,8,3,2,0,3,2,9,0,0,0
IOIO_A09-WCP1,0,0,NA,0,0,3,1,27,2,15,12,6,0,3,0,0
