siteID,fcity,city,site,habitat_prop,scale_habitat_prop,ag_prop,scale_ag_prop,imp_mean,scale_imp_value,pop_dens,scale_pop_dens
boma_MUS,"Boston, MA",boma,MUS,0.5993033888579882,0.26894576263354036,0.0011268898432167,-0.08745505131347243,47.281786941580755,-0.22723002936301065,858.7067545382366,-0.3707360147547684
boma_PKN,"Boston, MA",boma,PKN,0.8275144931811396,1.2002638878710912,8.453506458880497e-4,-0.08941805171712912,33.85604508196721,-1.0351795498118928,290.0933526930507,-0.6728922973300095
boma_SRN,"Boston, MA",boma,SRN,0.30668255659913124,-0.925225247199848,1.234010555850364e-4,-0.09445176407630104,59.59019264448336,0.5134791686191928,3193.803782380696,0.870114508809699
boma_STN,"Boston, MA",boma,STN,0.6940334249590753,0.6555343113678882,0.02622005524415098,0.08750422355281455,46.62520458265139,-0.2667425872223232,767.8544431856589,-0.4190141534208307
boma_STR,"Boston, MA",boma,STR,0.7701496021036737,0.9661606308399564,0.18536557397665207,1.1971284622955596,30.0359375,-1.2650703164590618,113.98973001561068,-0.7664722513085402
boma_TKR,"Boston, MA",boma,TKR,0.8240008794208201,1.1859250055026156,0.03206738926786334,0.1282741026949491,35.6013986013986,-0.930145686224786,474.1960620979853,-0.575061697303156
boma_ZNE,"Boston, MA",boma,ZNE,0.4926518978762392,-0.16629364839119137,0.00112709084309246,-0.08745364986443442,54.73205574912892,0.22112069666882972,4592.892907483194,1.6135784645669642
chil_C04-MBP1,"Chicago, IL",chil,C04-MBP1,0.35542003969846087,-0.07871649466733885,0,-0.07875693010794618,61.46949152542373,0.1552346160372308,1772.86305965958,0.11503880158237416
chil_C05-BEA1,"Chicago, IL",chil,C05-BEA1,0.47855354289916274,0.4237851854981693,0.01229521275869573,0.00697005866438432,54.53920619554695,-0.2618239545354226,287.0857959725895,-0.6744904871639807
chil_C05-BMP1,"Chicago, IL",chil,C05-BMP1,0.3384817494842832,-0.14784081153081563,0.00140965933096016,-0.06892823889212603,50.82716049382716,-0.485211650794553,2.118845449564168,-0.8259194794237927
chil_C05-BMP2,"Chicago, IL",chil,C05-BMP2,0.3153202199044836,-0.2423618576029141,0.00500123102817981,-0.04388640898602605,72.43280632411067,0.8149974080490995,1.791091018833826,-0.8260936453158833
chil_C05-EGG1,"Chicago, IL",chil,C05-EGG1,0.27618088123945234,-0.4020875449951408,0.03365815848440493,0.15592079618428148,65.43505234587049,0.3938786326355852,1459.1574673260793,-0.0516616583346122
chil_C05-SPA1,"Chicago, IL",chil,C05-SPA1,0.224452589372273,-0.61318812200854,0,-0.07875693010794618,73.14475806451613,0.8578420473441298,341.5772761484762,-0.645534182179718
chil_C06-BEA2,"Chicago, IL",chil,C06-BEA2,0.412392585846833,0.15378562229265982,0.07797070800576132,0.4648850662497986,59.67746913580247,0.04739226025028344,10.0027623789243,-0.8217300336179479
chil_C06-HMP1,"Chicago, IL",chil,C06-HMP1,0.3057090625007398,-0.2815845112120164,0.06646496851118909,0.3846625910615623,73.94962216624685,0.9062780720956576,8.567733755948208,-0.8224925955144851
chil_D02-BMT1,"Chicago, IL",chil,D02-BMT1,0.00503048035791689,-1.5086387961069987,0,-0.07875693010794618,86.28865979381443,1.6488306727815834,5331.46902350424,2.0060514750369842
chil_D02-HUP0,"Chicago, IL",chil,D02-HUP0,0.16552096825815643,-0.8536851261135276,0,-0.07875693010794618,70.19865935405241,0.6805483778244967,7601.509827960158,3.2123316797291332
chil_D02-JBS1,"Chicago, IL",chil,D02-JBS1,0.0947118635404117,-1.1426535479222175,0.00169237435460109,-0.06695704017168952,75.00054585152839,0.969521749534874,8779.890085177876,3.838512836953957
chil_D02-MDU1,"Chicago, IL",chil,D02-MDU1,0.11626102994933075,-1.054712475466917,0.00641447027413319,-0.03403275721535802,43.68840579710145,-0.9148157273612212,1.6405314680670475,-0.8261736513692374
chil_D02-MOP1,"Chicago, IL",chil,D02-MOP1,0.00532098589843984,-1.5074532574971518,0,-0.07875693010794618,77.81574492099323,1.1389379919984937,9329.127723044678,4.130373004810893
chil_D02-RCP1,"Chicago, IL",chil,D02-RCP1,0.03663973586163552,-1.3796430022205068,0,-0.07875693010794618,79.39352249928346,1.2338872805431558,4728.699945309093,1.6857451591328465
chil_D02-SCP1,"Chicago, IL",chil,D02-SCP1,0.00777077851221663,-1.497455776125462,0,-0.07875693010794618,81.70593244393983,1.3730461088151689,6693.2057000958885,2.729666660169961
chil_D03-AFP1,"Chicago, IL",chil,D03-AFP1,0.03325961650249115,-1.3934371006013635,0,-0.07875693010794618,75.93236714975845,1.0255979484459936,6279.904583880406,2.510041993472659
chil_D03-AMP1,"Chicago, IL",chil,D03-AMP1,0.05486472541010461,-1.3052677296013455,0,-0.07875693010794618,70.82724440668366,0.7183760820322234,4304.056826806711,1.460093449743887
chil_D03-CHP1,"Chicago, IL",chil,D03-CHP1,0.01295892146294866,-1.476283223717591,0,-0.07875693010794618,72.39960463146004,0.8129993589330304,7474.7146295261155,3.1449537992871748
chil_D03-GOM1,"Chicago, IL",chil,D03-GOM1,0.413026145862783,0.15637114909263758,0,-0.07875693010794618,52.86364998501648,-0.3626574765067895,4203.005834973017,1.4063958197831303
chil_D03-HOR1,"Chicago, IL",chil,D03-HOR1,0.09510851666902666,-1.141034826303886,0,-0.07875693010794618,69.69208296815658,0.6500630495398486,6336.705147021703,2.5402253253309315
chil_D03-NPV1,"Chicago, IL",chil,D03-NPV1,0.4756258527900218,0.4118374283028805,0.00140970382087926,-0.06892792869116648,51.17380585516179,-0.4643508330919098,1886.2285975466395,0.17528027564707227
chil_D03-STB1,"Chicago, IL",chil,D03-STB1,0.05834917478292263,-1.2910478656424786,0,-0.07875693010794618,77.4052379611377,1.1142340385913525,10206.621586084842,4.596665714019657
chil_D04-DNP1,"Chicago, IL",chil,D04-DNP1,0.17014231202867786,-0.8348256528674503,0,-0.07875693010794618,59.6055900621118,0.04306663983198978,4426.34560137918,1.5250766552145865
chil_D04-EDW0,"Chicago, IL",chil,D04-EDW0,0.5776354648692553,0.8281335632329099,0.00112742025129804,-0.07089611914667429,48.144911902193456,-0.6466270486173082,1950.5854178942911,0.20947893774597148
chil_D04-FGP1,"Chicago, IL",chil,D04-FGP1,0.25176685629229595,-0.5017199621412062,0,-0.07875693010794618,63.569317824583464,0.2816003445885539,3210.8000732856926,0.8791461919546197
chil_D04-RDP1,"Chicago, IL",chil,D04-RDP1,0.19867860271861695,-0.7183704749942684,5.637374170039245e-4,-0.07482633434140619,61.76640045636052,0.1731023384227615,3528.2402928219094,1.0478312007209916
chil_D04-ROS0,"Chicago, IL",chil,D04-ROS0,0.3576264183446187,-0.06971237354712286,0,-0.07875693010794618,57.41609977324263,-0.08869498998458804,6608.759286168492,2.6847925604278315
chil_D05-ADC2,"Chicago, IL",chil,D05-ADC2,0.5735800796772091,0.8115837386949046,0.00112771077715811,-0.07089409348777495,44.28447164948454,-0.8789450004677182,2040.0389918288224,0.25701379935038815
chil_D05-BRP1,"Chicago, IL",chil,D05-BRP1,0.35696366698974263,-0.0724170287441278,2.8202983347220975e-4,-0.07679050879893429,53.88956170703575,-0.300918997360117,2717.0099587418754,0.6167503622066869
chil_D05-MIA1,"Chicago, IL",chil,D05-MIA1,0.30604235108319566,-0.2802243771436218,5.642775595597501e-4,-0.07482256825815677,62.813092979127134,0.23609138816537717,1450.0442567067455,-0.05650434025896959
chil_D05-PRC1,"Chicago, IL",chil,D05-PRC1,0.6121224663569409,0.9688732948328924,0.00140979343833728,-0.06892730384351496,44.40535966149506,-0.8716700645756666,1885.0774198552992,0.17466854969993456
chil_D06-KCG1,"Chicago, IL",chil,D06-KCG1,0.650808542986169,1.126749242482272,0.00902708177511817,-0.01581661722599519,46.6391426563598,-0.7372429380630625,1086.4013308413355,-0.2497410707118901
chil_D07-ASC0,"Chicago, IL",chil,D07-ASC0,0.6980192346680113,1.319413718642212,0.01341664416761292,0.01478911309540184,41.43837255684085,-1.0502207795714928,218.57756208282507,-0.7108951747966551
chil_D07-NOC1,"Chicago, IL",chil,D07-NOC1,0.6699210179727962,1.2047462988743678,0.00789724271038944,-0.02369429309199747,50.66563626996393,-0.49493203873108427,909.3353388768533,-0.34383241947164406
chil_D08-CCC1,"Chicago, IL",chil,D08-CCC1,0.5720080767662898,0.8051684732843651,0.00364033772595349,-0.05337508454861722,45.814588573481856,-0.7868638888314828,1158.1580976572006,-0.21161014055733943
chil_D08-DAW0,"Chicago, IL",chil,D08-DAW0,0.6486240141645631,1.1178342894053852,0.01220746933625617,0.00635827751525359,58.05253731343283,-0.05039472987463042,803.4197059962438,-0.40011507794215656
chil_D08-DAW2,"Chicago, IL",chil,D08-DAW2,0.6632755802516116,1.1776265992513697,0.00140998402199621,-0.06892597502037785,53.60420121614151,-0.31809174462309,1537.5904684160691,-0.00998303457430976
chil_D09-CLG0,"Chicago, IL",chil,D09-CLG0,0.7302929776304251,1.4511212526787345,0.04838265524911412,0.2585856945963643,32.686609686609685,-1.5768942913985058,690.4142562754761,-0.4601652042451365
chil_D09-RYW1,"Chicago, IL",chil,D09-RYW1,0.9798850501453634,2.4696940418433404,0.0017040517526263,-0.06687562082669374,20.66688785666888,-2.3002307438624574,302.56290471822797,-0.6662660843827248
chil_D09-VTC1,"Chicago, IL",chil,D09-VTC1,0.6393139883365754,1.079840538725502,9.468297534562908e-4,-0.07215526609148176,46.633663366336634,-0.73757267699242,646.9439342845404,-0.4832649603404141
chil_D10-CAN0,"Chicago, IL",chil,D10-CAN0,0.5727924017401284,0.8083692643518231,0.00867718890793801,-0.01825620590859514,70.7277970011534,0.7123914232738306,167.9480938221664,-0.7377992397883679
chil_D10-MAC1,"Chicago, IL",chil,D10-MAC1,0.9269544410075296,2.2536868680639,0.02374057825846139,0.08677158296087908,22.75487012987013,-2.1745777785381804,53.41873037728643,-0.7986591607679223
chil_D10-VHC1,"Chicago, IL",chil,D10-VHC1,0.47980388560530224,0.428887771669162,0.00818708341097128,-0.02167341139013583,53.32868405093996,-0.3346721290687086,197.26345078008293,-0.7222213106505283
chil_J01-BBS1,"Chicago, IL",chil,J01-BBS1,0.03896153919417845,-1.3701678387167526,0,-0.07875693010794618,81.43984023964055,1.3570329103560574,1111.6122231352583,-0.23634421887685275
chil_J01-CLP1,"Chicago, IL",chil,J01-CLP1,0.02206407783021357,-1.4391255350805452,0,-0.07875693010794618,82.93356541920511,1.4469239983220783,5301.691054992578,1.9902277180890673
chil_J01-LMP1,"Chicago, IL",chil,J01-LMP1,0.121761433841864,-1.0322656017425358,0.00112876314662005,-0.07088675596000552,70.00199600798403,0.6687133479388266,3341.3330639817823,0.9485103031313336
chil_J01-NOR1,"Chicago, IL",chil,J01-NOR1,0.02905467343836439,-1.4105972633499204,0,-0.07875693010794618,81.22739726027397,1.3442482758012788,144.39639091486146,-0.7503144126205504
chil_J01-SEP1,"Chicago, IL",chil,J01-SEP1,0.01798057379708988,-1.455790111205393,0,-0.07875693010794618,86.02694181713959,1.6330807115534909,14320.12112312812,6.782544070834007
chil_J01-SKP1,"Chicago, IL",chil,J01-SKP1,0.03470759200986932,-1.387527984833658,0,-0.07875693010794618,86.86634230108758,1.683595105883568,5892.277578552597,2.3040603289963215
chil_J01-UIC1,"Chicago, IL",chil,J01-UIC1,0.0328064602551032,-1.3952864086269685,0,-0.07875693010794618,85.18964530892448,1.5826929326612942,4321.96864741145,1.4696116375152617
chil_R02-DPG1,"Chicago, IL",chil,R02-DPG1,0.16563963367945214,-0.8532008584525853,2.819311846988286e-4,-0.07679119661641691,69.60695187165776,0.644939933863208,4160.354573001265,1.383731305153846
chil_R02-FRP1,"Chicago, IL",chil,R02-FRP1,0.07507640862607168,-1.222784859293969,0,-0.07875693010794618,75.42123094297007,0.9948382140881472,3287.0017247376604,0.9196390956640712
chil_R02-HRF1,"Chicago, IL",chil,R02-HRF1,0.0719435992088922,-1.2355696981465196,1.918791442760963e-4,-0.07741907434490804,72.00991782374611,0.7895483442546662,5835.363959340911,2.273816920112357
chil_R03-AUP1,"Chicago, IL",chil,R03-AUP1,0.195057703300146,-0.733147184778333,0,-0.07875693010794618,65.5877217685159,0.4030661463017479,6868.538445172507,2.822836976406171
chil_R03-CPG1,"Chicago, IL",chil,R03-CPG1,0.2018855839513108,-0.7052829446650029,8.460775952869981e-4,-0.07285774918808849,63.14756944444444,0.2562198922421221,5374.9317137377675,2.0291471756818615
chil_R03-EUC1,"Chicago, IL",chil,R03-EUC1,0.09378727399995294,-1.1464267516845337,0,-0.07875693010794618,65.15080942913944,0.3767731400181031,5515.5191452299,2.103854130422316
chil_R03-MAP1,"Chicago, IL",chil,R03-MAP1,0.11331320542903792,-1.0667424001890766,0,-0.07875693010794618,67.29522184300342,0.5058220223474927,4174.797066333954,1.391405922182502
chil_R04-MMW0,"Chicago, IL",chil,R04-MMW0,0.4312828683539833,0.23087592226708628,0.08859157135768773,0.5389378420083236,54.03886925795053,-0.29193379822383153,604.1113261706797,-0.5060258407535176
chil_R04-MMW3,"Chicago, IL",chil,R04-MMW3,0.5372845488762171,0.6634634892428166,0.07247550107039297,0.4265703536461649,48.36106543900033,-0.6336191159285541,745.3326065961584,-0.43098206412882223
chil_R04-SCH1,"Chicago, IL",chil,R04-SCH1,0.27917768128389375,-0.3898577536036188,0,-0.07875693010794618,65.04838709677419,0.3706094527386173,1591.3083822746848,0.01856220390678314
chil_R05-FMG1,"Chicago, IL",chil,R05-FMG1,0.5096239211905257,0.5505818483799154,0,-0.07875693010794618,48.756381168462845,-0.6098293576131553,305.17493451242103,-0.66487807416343
chil_R05-GOC1,"Chicago, IL",chil,R05-GOC1,0.4373370607057685,0.2555827790504794,0,-0.07875693010794618,50.92917607223476,-0.479072441616051,1764.7878463230268,0.11074770250722556
chil_R05-MTC1,"Chicago, IL",chil,R05-MTC1,0.5144993495163251,0.5704782280130645,0,-0.07875693010794618,50.36752136752137,-0.5128723354376431,737.8898380959852,-0.4349370874448093
chil_R05-STP1,"Chicago, IL",chil,R05-STP1,0.09891092215986062,-1.1255173992986602,0,-0.07875693010794618,69.29602480969834,0.626228612490318,2689.735446738904,0.602256920565796
chil_R06-OTB1,"Chicago, IL",chil,R06-OTB1,0.3906848851524922,0.06519757933203331,0.00253598587153667,-0.06107505370590864,56.26248941574936,-0.15811826244637325,2146.507502109278,0.3135902521270412
chil_R06-SLT2,"Chicago, IL",chil,R06-SLT2,0.6432405603280082,1.0958646830217114,0,-0.07875693010794618,44.51972358191765,-0.8647877428665,1520.272646698775,-0.0191855764338897
chil_R06-YOW1,"Chicago, IL",chil,R06-YOW1,0.5895453743790554,0.8767373094411116,0.00197276494731793,-0.06500204828456635,49.06955708047411,-0.590982702391309,621.2150568991744,-0.49693706500831114
chil_R07-FSP1,"Chicago, IL",chil,R07-FSP1,0.3573391723674188,-0.07088461004175482,0,-0.07875693010794618,58.61429782424414,-0.01658846873367796,2045.804463252105,0.26007752139228807
chil_R07-GOF1,"Chicago, IL",chil,R07-GOF1,0.6317340318296828,1.0489071145859594,0.01122134049894708,-5.173949454998081e-4,42.27155569193004,-1.0000805399124542,1514.8217010935173,-0.02208216215497838
chil_R07-MMP1,"Chicago, IL",chil,R07-MMP1,0.768312254759301,1.6062760248514905,2.8202101414872763e-4,-0.07679057029067582,39.366638441998305,-1.1748959447941911,1923.0460233127312,0.19484473977572656
chil_R07-YHR1,"Chicago, IL",chil,R07-YHR1,0.585314493310977,0.8594712949931629,0,-0.07875693010794618,47.35202492211838,-0.6943423005579753,1568.4394968124225,0.0064098744057674
chil_R08-DAP1,"Chicago, IL",chil,R08-DAP1,0.8095114458064976,1.7744078669946617,5.637785876912183e-4,-0.07482604728341731,37.93896580955072,-1.260812047666232,1970.2837365551509,0.2199464552547627
chil_R08-PAP1,"Chicago, IL",chil,R08-PAP1,0.6095710151412964,0.958460949781425,0,-0.07875693010794618,46.701240135287485,-0.733505965548223,1443.694549540205,-0.05987852016161937
chil_R08-VLG1,"Chicago, IL",chil,R08-VLG1,0.6338839143963159,1.0576806780257229,0,-0.07875693010794618,43.79364178257167,-0.9084827168740768,1484.91544621929,-0.03797408937516106
chil_R08-WBK1,"Chicago, IL",chil,R08-WBK1,0.7728846559578663,1.624935765904458,0,-0.07875693010794618,37.7733604178758,-1.2707780367479968,1096.9501184386188,-0.24413553549986788
chil_R09-BLW1,"Chicago, IL",chil,R09-BLW1,0.6031887431767003,0.9324152164747448,2.819437596408909e-4,-0.076791108939047,47.46269612552033,-0.6876822033617761,1145.748137611679,-0.21820468683798253
chil_R09-CTG0,"Chicago, IL",chil,R09-CTG0,0.8426657741181459,1.9097090258856495,0.09142988020399608,0.558727631365795,22.0604929051531,-2.2163647986959547,172.68558790534018,-0.7352817760841203
chil_R09-LIM0,"Chicago, IL",chil,R09-LIM0,0.7282123657356298,1.4426303793929898,0.00338337852670382,-0.0551667036788713,42.00440081245768,-1.0161576892433652,1240.3333020597497,-0.16794294206788998
chil_R09-SMI1,"Chicago, IL",chil,R09-SMI1,0.8728628569678074,2.0329418136616857,0,-0.07875693010794618,30.962136196665725,-1.680671612890008,1132.6612692698795,-0.2251589363788445
chil_R10-FRM1,"Chicago, IL",chil,R10-FRM1,0.5629354903030107,0.7681437007997095,0.1542931219647976,0.9970345176625882,46.28670634920635,-0.758452249870999,825.0690369129233,-0.38861080926189406
chil_R10-FRM2,"Chicago, IL",chil,R10-FRM2,0.5690572548709133,0.7931263164241076,0.06440255152475301,0.3702826204738207,45.3689497716895,-0.813682046067519,0,-0.8270454157142745
chil_R10-WCP0,"Chicago, IL",chil,R10-WCP0,0.5079304814015416,0.5436710051317006,0.1000163044014592,0.618595508824832,56.28340897629854,-0.15685934140570065,30.110898744184844,-0.811044742497607
chil_R10-WDW0,"Chicago, IL",chil,R10-WDW0,0.7765755043079737,1.6399979337869235,0,-0.07875693010794618,39.81680796166605,-1.147805132879331,1555.5662560605806,-4.30855266889319e-4
chil_S02-BNS1,"Chicago, IL",chil,S02-BNS1,0.15232896284606612,-0.907521041701204,0.00197430066031722,-0.06499134069831868,64.59359400998336,0.3432403985575998,3850.282923662615,1.2189618913621378
chil_S02-BRI1,"Chicago, IL",chil,S02-BRI1,0.0201990403521405,-1.4467366599323723,0,-0.07875693010794618,83.41453488372093,1.4758683242498003,3490.900284962724,1.0279890409522467
chil_S02-COP1,"Chicago, IL",chil,S02-COP1,0.00457654942875996,-1.5104912655702338,0,-0.07875693010794618,88.21169590643275,1.7645573209804173,2227.018082387744,0.35637288364078135
chil_S02-MCP1,"Chicago, IL",chil,S02-MCP1,0.06396954192136778,-1.2681114278996792,0,-0.07875693010794618,78.60645347162202,1.186522147941274,4517.583884526544,1.5735598959804464
chil_S02-PIP1,"Chicago, IL",chil,S02-PIP1,0.02393028436406856,-1.4315096393704276,0,-0.07875693010794618,80.96248909566735,1.3283063318256725,4062.210478236153,1.331578375351793
chil_S02-PLP1,"Chicago, IL",chil,S02-PLP1,0.01103358150189662,-1.4841404399923643,0,-0.07875693010794618,86.35183066361556,1.6526322410297924,5732.816777533235,2.219324227637953
chil_S02-TNW1,"Chicago, IL",chil,S02-TNW1,0.107999864446716,-1.0884258795144155,0.00197374548334758,-0.06499521160732828,66.67363636363636,0.46841554639823313,2751.4720032570062,0.6350631969496666
chil_S03-JKP2,"Chicago, IL",chil,S03-JKP2,0.25812566373390844,-0.4757699863815545,0,-0.07875693010794618,55.26875919568416,-0.21792008666976503,1732.2214308688744,0.09344218878121129
chil_S03-LCP1,"Chicago, IL",chil,S03-LCP1,0.07444225837451979,-1.2253727948159756,0,-0.07875693010794618,75.8538283062645,1.0208715488472924,1379.7472515374488,-0.09385956560047563
chil_S03-PSP1,"Chicago, IL",chil,S03-PSP1,0.01987056031195881,-1.4480771705797717,0,-0.07875693010794618,73.97787234042553,0.9079781431173508,5498.821954184678,2.09498138637636
chil_S03-VIP1,"Chicago, IL",chil,S03-VIP1,0.02517148204093734,-1.4264443736074008,0,-0.07875693010794618,73.72121384004538,0.8925326567919311,3970.393601176547,1.2827876747457738
chil_S03-WAP1,"Chicago, IL",chil,S03-WAP1,0.01092363489676828,-1.4845891265997404,0,-0.07875693010794618,85.26685472496474,1.587339328466916,2942.477735774296,0.7365620042248749
chil_S04-HAP1,"Chicago, IL",chil,S04-HAP1,0.03228923720646494,-1.3973971700704844,0,-0.07875693010794618,72.72884234361732,0.8328125993805731,4534.910490394334,1.5827671056622246
chil_S04-OTW1,"Chicago, IL",chil,S04-OTW1,0.4465152797148571,0.2930386326817744,0.00422868101904785,-0.04927292707714886,54.61892393320965,-0.25702661010639005,2260.5265531706286,0.3741789974848833
chil_S04-SSP1,"Chicago, IL",chil,S04-SSP1,0.12039190402422568,-1.0378545845661489,2.971136071841974e-5,-0.07854977098539118,67.9885200124108,0.5475441058910316,1937.5409738564335,0.20254723211618927
chil_S05-LNC1,"Chicago, IL",chil,S05-LNC1,0.4801531631896278,0.43031315605607146,0,-0.07875693010794618,53.697860108591506,-0.3124554335698902,1616.785146018272,0.03210033754877888
chil_S05-RES1,"Chicago, IL",chil,S05-RES1,0.4135971294481443,0.15870130460298096,0,-0.07875693010794618,55.315685722331736,-0.21509608892739143,689.279400610628,-0.4607682568074525
chil_S05-SFP0,"Chicago, IL",chil,S05-SFP0,0.19673380761136863,-0.7263070867495356,0.00986352528970232,-0.00998460885080618,71.267750213858,0.7448853400965442,83.26381738039181,-0.7827997376295838
chil_S06-CBW0,"Chicago, IL",chil,S06-CBW0,0.8101821619472633,1.7771450260853077,0.00260348642885522,-0.06060441365819732,33.2665916760405,-1.541991477451277,433.4855024304281,-0.5966949393807949
chil_S07-ARG1,"Chicago, IL",chil,S07-ARG1,0.7870090989997068,1.682576912915099,0.05366267625273169,0.29540004748136545,44.15728476821192,-0.8865989968580938,39.47755622425034,-0.8060673810862369
chil_S07-ARG2,"Chicago, IL",chil,S07-ARG2,0.6679835167288154,1.1968394530110107,0.00906362916277179,-0.01556179467411832,49.06852343059239,-0.5910449065462063,0.6142202628873779,-0.8267190243370853
chil_S07-STJ1,"Chicago, IL",chil,S07-STJ1,0.6536237470683501,1.1382379498164492,0,-0.07875693010794618,53.5072217502124,-0.3239278849131483,4.288308023604117,-0.8247666456277006
chil_S08-WGL1,"Chicago, IL",chil,S08-WGL1,0.777901253328285,1.64540824936203,0.01777069059585535,0.04514721234863828,41.41858552631579,-1.051411545935914,130.95866938481467,-0.7574551025350413
chil_S08-WGL3,"Chicago, IL",chil,S08-WGL3,0.8849797644206482,2.0823903081428186,0.04918969561766358,0.26421269284123206,31.50379746835443,-1.6480749065565512,61.535919307615366,-0.7943457562224262
chil_S09-KTP1,"Chicago, IL",chil,S09-KTP1,0.5779729386369085,0.8295107768331847,0.01257148754742084,0.0088963535708604,52.84260051325919,-0.3639242154914829,25.99152247668035,-0.8132337436985614
chil_S09-SMC1,"Chicago, IL",chil,S09-SMC1,0.5964222808468728,0.9048016214650024,0.00761451440452229,-0.02566558442126307,46.38715953307393,-0.7524070642431181,831.3555482272861,-0.38527021109281984
chil_S09-VTW0,"Chicago, IL",chil,S09-VTW0,0.25504330959647414,-0.48834891975601735,0.02934952350050038,0.1258793231216846,72.37044877222692,0.8112447845689477,21.704906828425585,-0.8155116144713964
chil_S10-ILC1,"Chicago, IL",chil,S10-ILC1,0.3734041654692633,-0.00532417510175267,5.639513177745688e-4,-0.0748248429423289,59.7904,0.05418834187663601,70.35437039235173,-0.7896597069854773
chil_S10-LEW1,"Chicago, IL",chil,S10-LEW1,0.5432293523345205,0.687723935412224,0.08620990464940008,0.5223319386239833,41.98660986001217,-1.017228333357261,41.16262734450314,-0.8051719487522148
chil_S10-LPC1,"Chicago, IL",chil,S10-LPC1,0.6562195410678148,1.148831255555249,0,-0.07875693010794618,44.863453815261046,-0.8441023550423092,1417.615517828904,-0.07373669383370934
